casfri_species_codes,nfi_species_code,scientific_name,ab_species_codes,bc_species_codes,nb_species_codes,nt_species_codes,on_species_codes,ns_species_codes,sk_species_codes,yt_species_codes,pe_species_codes,qc_species_codes,mb_species_codes,nl_species_codes,pc02_species_codes,pc01_species_codes,Comment
ULMU_SUBS,ULMU_SPP_###,Ulmus spp. ,,,,,EX,,,,,OR,,,,,
ULMU_THOM,ULMU_THO_###,Ulmus thomasii ,,,,,EU,,,,,OT,,,,,"Used prior to 2018. Post 2018, OT are included in FH"
WBNP_ERIC,,,,,,,,,,,,,,,,,Ericaceous species
WBNP_GRAM,,,,,,,,,,,,,,,,,Graminoids species
WBNP_HEGR,,,,,,,,,,,,,,,,,Herbs/Graminoids species
,ABIE_CON_###,Abies concolor ,,BC,,,,,,,,,,,,,
,ACER_GLA_DOU,Acer glabrum var. douglasii ,,,,,,,,,,,,,,,
,ACER_PSE_###,Acer pseudoplatanus ,,MS,,,,,,,,,,,,,
,ALNU_VIR_SIN,Alnus viridis ssp. sinuata ,,,,,,,,,,,,,,,
,ARBU_SPP_###,Arbustus spp.,,R,,,,,,,,,,,,,
,BETU_WIN_###,Betula xwinteri ,,EXP,,,,,,,,,,,,,
,CHAM_LAW_###,Chamaecyparis lawsoniana ,,YP,,,,,,,,,,,,,
,FRAX_LAT_###,Fraxinus latifolia ,,OG,,,,,,,,,,,,,
,FRAX_PEN_SUB,Fraxinus pennsylvanica var. subintegerrima ,,,,,,,,,,,GA,,,,Found in MB FLI manual from Louisiana Pacific
,MALU_FUS_###,Malus fusca ,,,,,,,,,,,,,,,
,PICE_ENG_GLA,Picea engelmannii x glauca ,,,,,,,,,,,,,,,
,PINU_LAM_###,Pinus lambertiana ,,PS,,,,,,,,,,,,,
,POPU_AGU_###,Populus angustifolia ,,,,,,,,,,,,,,,
,POPU_SPP_###,Populus spp. ,,,,,,,,,,,,,,,
,PYRU_COM_###,Pyrus communis ,,OF,,,,,,,,,,,,,
,QUER_ROB_###,Quercus robur ,,QE,,,,,,,,,,,,,
,SALI_AMY_###,Salix amygdaloides ,,WA,,,,,,,,,,,,,
,SALI_DIS_###,Salix discolor ,,WD,,,,,,,,,,,,,
,SALI_NIG_###,Salix nigra ,,,,,,,,,,,,,,,
,SALI_SIT_###,Salix sitchensis ,,WT,,,,,,,,,,,,,
,SEQU_GIG_###,Sequoiadendron giganteum ,,OB,,,,,,,,,,,,,
,SEQU_SEM_###,Sequoia sempervirens ,,OC,,,,,,,,,,,,,
,ULMU_PUM_###,Ulmus pumila ,,,,,,,,,,,,,,,
,ABIE_BIF_###,Abies bifolia ,,,,,,,,,,,,,,,
,CHAM_SPP_###,Chamaecyparis spp. ,,Y,,,,,,,,,,,,,
,JUNI_SPP_###,Juniperus spp. ,,J,,,,,,,,,,,,,
,TAXU_SPP_###,Taxus spp. ,,T,,,,,,,,,,,,,
,THUJ_SPP_###,Thuja spp. ,,C,,,CE,,,,,,,,,,
,ACER_SAH_SAC,Acer saccharum var. saccharum ,,,,,,,,,,,,,,,
,AESC_GLA_###,Aesculus glabra ,,,,,,,,,,,,,,,
,ALNU_INC_###,Alnus incana ,,DM,,,,,,,,,,,,,
,ALNU_INC_RUG,Alnus incana ssp. rugosa ,,,,,,,,,,,,,,,
,ALNU_RUG_###,Alnus rugosa ,,,AL,,,,,,,,,,,,
,ALNU_SER_###,Alnus serrulata ,,,,,,,,,,,,,,,
,ALNU_SIN_###,Alnus sinuata ,,DG,,,,,,,,,,,,,Found in BC 
,ALNU_VIR_FRU,Alnus viridis ssp. fruticosa ,,,,,,,,,,,,,,,
,AMEL_ALN_###,Amelanchier alnifolia ,,,,,,,,,,,,,,,
,AMEL_ARB_###,Amelanchier arborea ,,,,,,,,,,,,,,,
,AMEL_BAR_###,Amelanchier bartramiana ,,,,,,,,,,,,,,,
,AMEL_FLO_###,Amelanchier florida ,,,,,,,,,,,,,,,
,AMEL_LAE_###,Amelanchier laevis ,,,,,,,,,,,,,,,
,AMEL_SAN_###,Amelanchier sanguinea ,,,,,,,,,,,,,,,
,AMEL_SAN_GAS,Amelanchier sanguinea ,,,,,,,,,,,,,,,
,AMEL_SPP_###,Amelanchier spp. ,,,,,,,,,,,,,,,
,ASIM_SPP_###,Asimina ,,,,,,,,,,,,,,,
,BETU_ALA_###,Betula alaskana ,,,,,,,,,,,,,,,
,BETU_CAE_###,Betula xcaerulea ,,,,,,,,,,,,,,,
,BETU_COR_###,Betula cordifolia ,,,,,,,,,,,,,,,
,BETU_KEN_###,Betula kenaica ,,,,,,,,,,,,,,,
,BETU_PAP_NEO,Betula papyrifera var. neoalaskana ,,,,,,,,,,,,,,,
,BETU_PAP_PAP,Betula papyrifera var. papyrifera ,,,,,,,,,,,,,,,
,BETU_SPP_###,Betula spp. ,,,,,,,,,,,,,,,
,CARP_CAR_VIR,Carpinus caroliniana ssp. virginiana ,,,,,,,,,,,,,,,
,CARP_SPP_###,Carpinus spp. ,,,,,,,,,,,,,,,
,CARY_OVA_OVA,Carya ovata var. ovata ,,,,,,,,,,,,,,,
,CAST_SPP_###,Castanea spp. ,,,,,,,,,,,,,,,
,CELT_SPP_###,Celtis spp. ,,,,,,,,,,,,,,,
,CELT_TEN_###,Celtis tenuifolia ,,,,,,,,,,,,,,,
,CEPH_OCC_###,Cephalanthus occidentalis ,,,,,,,,,,,,,,,
,CORN_ALT_###,Cornus alternifolia ,,,,,,,,,,,,,,,
,CORN_FLO_###,Cornus florida ,,,,,,,,,,,,,,,
,CORN_SPP_###,Cornus spp. ,,G,,,,,,,,,,,,,
,CORN_STO_###,Cornus stolonifera ,,,,CS,,,,,,,,,,,
,CRAT_CHR_###,Crataegus chrysocarpa ,,,,,,,,,,,,,,,
,CRAT_PUN_###,Crataegus punctata ,,,,,,,,,,,,,,,
,ELAE_COM_###,Elaeagnus commutata ,,,,,,,,,,,,,,,
,EUON_ATR_###,Euonymus atropurpureus ,,,,,,,,,,,,,,,
,FAGU_SPP_###,Fagus spp. ,,,,,,,,,,,,,,,
,FRAN_ALN_###,Frangula alnus ,,,,,,,,,,,,,,,
,FRAX_PEN_AUS,Fraxinus pennsylvanica var. austini ,,,,,,,,,,,,,,,
,ILEX_SPP_###,Ilex spp. ,,,,,,,,,,,,,,,
,ILEX_MUC_###,Ilex mucronata ,,,,,,,,,,,,,,,
,ILEX_VER_###,Ilex verticillata ,,,,,,,,,,,,,,,
,JUGL_SPP_###,Juglans spp. ,,,,,,,,,,,,,,,
,LIRI_SPP_###,Liriodendron spp. ,,,,,,,,,,,,,,,
,MALU_COR_###,Malus coronaria ,,,,,,,,,,,,,,,
,MYRI_CAL_###,Myrica californica ,,,,,,,,,,,,,,,
,NEMO_MUC_###,Nemopanthus mucronatus ,,,,,,,,,,,,,,,
,NEMO_SPP_###,Nemopanthus spp. ,,,,,,,,,,,,,,,
,NYSS_SPP_###,Nyssa spp. ,,,,,,,,,,,,,,,
,OSTR_SPP_###,Ostrya spp. ,,,,,,,,,,,,,,,
,PLAT_SPP_###,Platanus spp. ,,,,,,,,,,,,,,,
,POPU_BAL_BAL,Populus balsamifera ssp balsamifera ,,ACB,,,,,,,,,,,,,
,POPU_DEL_DEL,Populus deltoides ssp. deltoides ,,,,,,,,,,,,,,,
,POPU_JAC_###,Populus xjackii ,,,,,,,,,,,,,,,
,PRUN_NIG_###,Prunus nigra ,,,,,,,,,,,,,,,
,PRUN_VIR_VIR,Prunus virginiana var. virginiana ,,,,,,,,,,,,,,,
,PTEL_TRI_###,Ptelea trifoliata ,,,,,,,,,,,,,,,
,QUER_ELL_###,Quercus ellipsoidalis ,,,,,,,,,,,,,,,
,QUER_PRI_###,Quercus prinoides ,,,,,,,,,,,,,,,
,RHAM_FRA_###,Rhamnus frangula ,,,,,,,,,,,,,,,
,RHAM_SPP_###,Rhamnus spp. ,,K,,,,,,,,,,,,,
,RHUS_SPP_###,Rhus spp. ,,,,,,,,,,,,,,,
,RHUS_TYP_###,Rhus typhina ,,,,,,,,,,,,,,,
,SALI_LUC_###,Salix lucida ,,WP,,,,,,,,,,,,,
