values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
1961,NA,NA,NA,46,19,421,NA,29,51,NA,9958,9198,NA,1675,NA,NA,5787,4272,31,23,1926,NA,NA,NA,NA,NA,48,NA,NA,NA,130,NA,103,4327,1678,21,NA,NA,NA,NA,NA,90,59
1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,9,NA,NA,NA,323,1002,109,30,38,2,3238,3479,NA,NA,NA,NA,13,1,60,71,360,NA,NA,NA,NA,1,45,NA,NA,NA,825,NA,302,6487,2728,1,NA,NA,NA,NA,70,40,37
1960,NA,NA,NA,NA,NA,323,19,1,13,NA,6486,5935,NA,NA,NA,NA,2,4340,18,18,241,NA,NA,NA,NA,NA,22,NA,NA,NA,117,NA,304,5379,2545,38,1,NA,NA,NA,2,17,15
2007,NA,NA,NA,NA,NA,NA,NA,57,113,146,121234,95505,NA,NA,NA,NA,1063,5561,2109,5683,NA,NA,NA,NA,NA,NA,4613,NA,NA,NA,81612,1445,27267,53715,135518,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,1,1,NA,366,395,NA,NA,NA,NA,NA,160,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,152,27,NA,NA,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,188,NA,NA,NA,NA,NA,NA,2,2,22,NA,NA,NA,NA,NA,3,NA,NA,NA,93,NA,3,555,535,NA,NA,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,2,2,NA,321,304,NA,NA,NA,NA,NA,35,4,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,NA,NA,2963,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,44,NA,NA,NA,NA,1,NA,11,11,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3315,NA,17388,30595,12203,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,1385,1284,NA,NA,NA,NA,302,1663,7,5,163,NA,NA,NA,NA,NA,41,NA,NA,NA,626,NA,441,2525,1144,NA,NA,NA,NA,NA,NA,140,122
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371,399,NA,NA,NA,NA,NA,6,2,2,225,NA,NA,NA,NA,NA,15,NA,NA,NA,25,NA,471,1249,299,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,204,NA,NA,NA,NA,8,NA,6,2,14,NA,NA,NA,NA,NA,1,NA,NA,NA,224,NA,NA,3008,19,NA,NA,NA,NA,NA,NA,NA,NA
1959,1,NA,NA,NA,NA,260,NA,NA,66,NA,2401,2363,NA,NA,NA,NA,NA,359,3,3,518,NA,NA,NA,NA,NA,30,NA,NA,NA,61,NA,379,4447,1354,NA,NA,NA,NA,NA,NA,36,35
1953,NA,NA,NA,NA,225,NA,NA,2,4,NA,1017,1067,NA,NA,NA,NA,1,NA,1,1,136,NA,NA,NA,NA,NA,11,NA,NA,NA,35,NA,994,26180,3187,NA,NA,NA,NA,NA,303,713,621
1948,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,734,772,NA,NA,NA,NA,1,631,1,4,78,NA,NA,NA,NA,NA,28,NA,NA,NA,95,NA,8,2777,208,NA,NA,NA,NA,NA,111,NA,NA
1941,NA,NA,NA,112,NA,NA,NA,NA,78,NA,202,226,NA,NA,NA,NA,NA,NA,1,1,70,NA,NA,NA,NA,NA,17,NA,NA,NA,4796,651,8071,26227,252,NA,NA,NA,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,179,NA,NA,NA,NA,NA,12,1,NA,9,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,428,74,NA,NA,NA,NA,NA,NA,NA,NA
1886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,11,NA,NA,2,NA,2457,2480,NA,NA,NA,NA,3,68,156,142,277,NA,NA,NA,NA,NA,11,NA,NA,NA,9,2,33,12360,186,9,NA,NA,NA,NA,6,106,101
1958,NA,NA,NA,NA,NA,197,NA,NA,74,NA,7958,8357,NA,NA,NA,NA,575,34,4,4,357,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,244,9889,3175,NA,NA,NA,NA,NA,NA,1813,1560
