values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
2000,NA,72,NA,NA,10,NA,NA,13336,12499,NA,15903,16120,NA,NA,27221,NA,24508,NA,35562,8,NA,125000,124066,NA,NA,NA,15,NA,NA,NA,5614,NA,369,NA,57630,6,NA,NA,42320,42321,211482,792,723
2001,NA,NA,NA,NA,NA,117231,NA,9989,11461,NA,139289,135442,NA,NA,NA,NA,75490,NA,87772,11,111284,101987,101129,142,NA,NA,13,NA,NA,NA,1484598,76903,NA,NA,7839,7,NA,NA,119564,75223,NA,13712,12718
2002,NA,NA,NA,NA,NA,NA,NA,7419,4720,NA,89281,56338,NA,NA,NA,NA,NA,NA,96015,15,NA,89722,88633,7837,NA,154,21,NA,NA,NA,743431,283808,7092,NA,455274,NA,NA,NA,129699,79822,NA,3529,3022
2003,NA,NA,7,NA,6,NA,NA,1084,16540,NA,106279,77193,NA,NA,NA,NA,NA,NA,86535,2,240981,110266,109480,106749,75973,75973,5,NA,NA,NA,37667,207,339,42,511286,NA,NA,NA,108114,108115,NA,9064,8208
2004,NA,NA,NA,NA,NA,NA,NA,6290,12399,NA,80155,64188,NA,NA,NA,NA,NA,NA,103837,1405,NA,116358,116359,31279,12,12,50,NA,NA,NA,275460,36067,29,NA,767598,NA,19780,NA,41059,41059,NA,7267,6574
2005,NA,NA,NA,NA,NA,NA,NA,25,17525,NA,294659,269175,NA,NA,NA,NA,NA,NA,76179,77681,164064,81876,81877,2259,NA,NA,47,NA,NA,NA,20010,1283,457866,331,613494,NA,NA,NA,117329,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,30160,32115,NA,535108,521134,NA,NA,NA,NA,NA,NA,86833,92238,33495,2464,2464,732,1286,1286,3620,NA,NA,NA,29390,54,639365,315,884130,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,27424,33260,NA,279660,245388,NA,NA,NA,NA,NA,174841,90210,90888,NA,NA,124168,124217,NA,NA,734856,NA,NA,NA,30326,170,878749,55375,886527,NA,6890,NA,NA,NA,NA,NA,2346
2008,NA,NA,NA,NA,NA,NA,NA,29381,35566,NA,94213,81989,NA,NA,NA,NA,NA,NA,93872,237,NA,NA,43756,125309,NA,NA,1865604,NA,NA,NA,224920,1,384958,348836,357110,NA,NA,8964,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA,NA,9402,NA,90861,85335,NA,NA,NA,NA,NA,44841,100998,101457,NA,NA,NA,128250,NA,NA,480429,NA,NA,NA,20836,2692,16666,353347,23353,NA,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,24035,NA,110956,95259,NA,NA,NA,NA,NA,NA,289,111117,NA,NA,NA,89122,NA,NA,315473,NA,NA,NA,3933,NA,NA,300651,13,NA,NA,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,NA,NA,132,NA,343748,323326,NA,NA,NA,NA,NA,NA,NA,125030,NA,NA,NA,158002,NA,3,176822,NA,NA,NA,130,2,NA,832460,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,NA,9134,NA,247563,227418,NA,NA,NA,NA,NA,NA,NA,111948,NA,NA,NA,106664,NA,40197,3980,NA,NA,NA,NA,NA,NA,837718,NA,NA,107,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA,NA,4504,NA,217239,236917,NA,NA,NA,NA,NA,NA,NA,134542,NA,NA,NA,3169,NA,1066,21538,NA,NA,NA,NA,NA,NA,1217558,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,NA,NA,9927,NA,104233,260965,NA,NA,NA,NA,NA,NA,NA,134264,NA,NA,NA,77500,NA,NA,11867,NA,NA,NA,NA,NA,NA,543912,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,NA,NA,NA,NA,NA,NA,NA,NA,24411,NA,11053,164212,NA,NA,NA,NA,NA,NA,NA,122675,NA,NA,NA,NA,NA,NA,11669,NA,NA,NA,NA,NA,NA,1195575,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,60730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1580,NA,NA,NA,NA,NA,NA,676092,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155689,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405857,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198924,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,4555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
