values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,8,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038,NA,NA
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,7,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1240,NA,NA
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1547,NA,NA
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39039,38862,NA,NA,NA,NA,NA,NA,NA,NA,NA,27574,28952,22048,7030,7115,242202,NA,NA,NA,94471,2800,239787,NA,474034,NA,222,326,6629,3917,8824,270,242
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,43,15558,7428,3162,31572,20262,14899,NA,NA,NA,7,3,NA,NA,NA,14,NA,NA,35142,NA,NA,NA,NA,NA,270613,NA,NA,NA,NA,414,NA,NA
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,363,NA,NA
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,NA,NA
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6866,8182,NA,NA,NA,NA,NA,NA,NA,NA,NA,12679,15636,10624,534,534,90276,NA,NA,NA,NA,NA,NA,804025,NA,NA,43,127,2215,1001,6054,125,126
86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,4,4,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,NA,NA
